DEA_NME_DEAL;GLE_AMT_AGGREGATN;GLE_CDE_BRANCH;BRN_CDE_BRANCH;BRN_CDE_LOCAL_CCY;BRN_TXT_ENTITY_CDE;GLE_CDE_CURRENCY;DBR_IND_PRIM_BORR;GLE_CDE_EXPENSE;FAC_NME_FACILITY;GLE_CDE_GL_ACCOUNT;GLE_CDE_GL_SHTNAME;GLE_AMT_ENTRY;GLE_CDE_ACCTG_OPER;GLE_CDE_BUS_TRAN;GLE_CDE_PORTFOLIO;GLE_CDE_SEC_TYPE;GLE_DTE_TRAN_BUS;GLE_DTE_TRANS_EFF;GLE_TXT_DESCRIPTON;OST_NME_ALIAS;OST_CDE_RISK_TYPE;PTF_DSC_PORTFOLIO
BONO 2: B.POUP CARDAMA USD88M 13/08/10  ;557,82;CLO  ;CLO  ;EUR;49;USD;Y;600001;TRAMO C-235                   ;940033;INTRC;557,82;DR   ;INTAC;B2SGB;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00110;SLPI ;BONO 2 USD SGBM Asset Mobilization
BONO 2: B.POUP CARDAMA USD88M 13/08/10  ;557,82;CLO  ;CLO  ;EUR;49;USD;Y;600001;TRAMO C-235                   ;969039;INTIN;557,82;CR   ;INTAC;B2SGB;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00110;SLPI ;BONO 2 USD SGBM Asset Mobilization
BONO 2: B.POUP CARDAMA USD88M 13/08/10  ;597,66;CLO  ;CLO  ;EUR;49;USD;Y;600001;TRAMO C-236                   ;GLINTIN        ;INTIN;597,66;CR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00111;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: B.POUP CARDAMA USD88M 13/08/10  ;597,66;CLO  ;CLO  ;EUR;49;USD;Y;600001;TRAMO C-236                   ;GLINTRC        ;INTRC;597,66;DR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00111;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: B.POUP CARDAMA USD88M 13/08/10  ;723,36;CLO  ;CLO  ;EUR;49;USD;Y;600001;TRAMO C-234                   ;940033;INTRC;723,36;DR   ;INTAC;B2SGB;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00109;SLPI ;BONO 2 USD SGBM Asset Mobilization
BONO 2: B.POUP CARDAMA USD88M 13/08/10  ;723,36;CLO  ;CLO  ;EUR;49;USD;Y;600001;TRAMO C-234                   ;969039;INTIN;723,36;CR   ;INTAC;B2SGB;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00109;SLPI ;BONO 2 USD SGBM Asset Mobilization
BONO 2: BANCO DE POUPANCA USD113.8M     ;-2995751,92;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;UNCOC          ;UNCOC;2995751,92;DR   ;UNCOM;RTFSG;FAC  ;04/06/2015 0:00;04/06/2015 0:00;Unused Commitment Posting;;;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: BANCO DE POUPANCA USD113.8M     ;-2995751,92;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;UNCOM          ;UNCOM;2995751,92;CR   ;UNCOM;RTFSG;FAC  ;04/06/2015 0:00;04/06/2015 0:00;Unused Commitment Posting;;;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: BANCO DE POUPANCA USD113.8M     ;0,24;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;GLINTIN        ;INTIN;0,24;CR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00156;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: BANCO DE POUPANCA USD113.8M     ;0,24;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;GLINTRC        ;INTRC;0,24;DR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00156;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: BANCO DE POUPANCA USD113.8M     ;0,29;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;GLINTIN        ;INTIN;0,29;CR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00157;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: BANCO DE POUPANCA USD113.8M     ;0,29;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;GLINTRC        ;INTRC;0,29;DR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00157;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: BANCO DE POUPANCA USD113.8M     ;0,63;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;GLINTIN        ;INTIN;0,63;CR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00152;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: BANCO DE POUPANCA USD113.8M     ;0,63;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;GLINTRC        ;INTRC;0,63;DR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00152;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
BONO 2: BANCO DE POUPANCA USD113.8M     ;0,71;CLO  ;CLO  ;EUR;49;USD;Y;600001;BANCO DE POUPANCA USD 113.8M  ;GLINTIN        ;INTIN;0,71;CR   ;INTAC;RTFSG;OST  ;04/06/2015 0:00;04/06/2015 0:00;Outstanding Accruals;SAN01SE-BA00155;SLPI ;REPO TRADE FINANCE 1 SOCIETE GENERAL
